Rk,School,Conf,Unnamed:_3_level_1,W,L,Pts,Opp,MOV,Unnamed:_9_level_1,SOS,Unnamed:_11_level_1,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,season
1,Kansas,Big 12,,28,3,74.6,60.7,13.87,,11.63,,11.10,13.86,24.96,118.69,81.78,36.91,2020
2,Gonzaga,WCC,,31,2,87.4,67.8,19.58,,3.13,,18.79,3.91,22.70,122.52,90.21,32.31,2020
3,Duke,ACC,,25,6,82.5,68.0,14.55,,8.00,,15.97,6.58,22.55,117.58,84.69,32.89,2020
4,Michigan State,Big Ten,,22,9,75.9,64.7,11.16,,10.76,,11.83,10.08,21.92,116.94,85.16,31.78,2020
5,Baylor,Big 12,,26,4,71.1,60.1,11.00,,9.13,,6.68,13.45,20.13,113.16,82.92,30.24,2020
6,Arizona,Pac-12,,21,11,76.4,65.3,11.09,,8.40,,10.01,9.48,19.49,113.66,85.52,28.14,2020
7,Ohio State,Big Ten,,21,10,72.1,62.9,9.13,,10.24,,7.25,12.12,19.37,115.64,86.31,29.33,2020
8,Dayton,A-10,,29,2,80.0,64.5,15.48,,3.69,,11.64,7.53,19.17,119.36,90.07,29.29,2020
9,West Virginia,Big 12,,21,10,70.3,62.4,7.87,,10.64,,6.90,11.61,18.51,110.18,82.29,27.89,2020
10,San Diego State,MWC,,30,2,74.8,59.5,15.38,,3.93,,4.37,14.01,18.38,114.19,85.74,28.45,2020
11,Oregon,Pac-12,,24,7,75.9,66.7,9.13,,9.09,,10.63,7.59,18.22,119.49,91.94,27.56,2020
12,Louisville,ACC,,24,7,74.1,63.7,10.39,,7.55,,8.62,9.32,17.94,116.77,89.03,27.75,2020
13,Michigan,Big Ten,,19,12,75.0,68.3,6.77,,11.17,,9.60,8.34,17.94,114.03,87.53,26.50,2020
14,Maryland,Big Ten,,24,7,71.8,64.5,7.32,,10.50,,7.42,10.41,17.82,114.29,87.68,26.61,2020
15,Florida State,ACC,,26,5,75.4,65.7,9.65,,7.64,,10.06,7.22,17.28,112.43,86.94,25.49,2020
16,Creighton,Big East,,24,7,78.3,69.7,8.58,,9.61,,11.95,5.29,17.24,118.51,93.25,25.26,2020
17,Brigham Young,WCC,,24,8,79.6,68.4,11.25,,6.45,,11.83,5.10,16.93,117.05,91.35,25.70,2020
18,Villanova,Big East,,24,7,73.2,66.4,6.81,,10.03,,7.44,9.40,16.84,114.40,89.56,24.84,2020
19,Texas Tech,Big 12,,18,13,71.9,63.5,8.42,,8.41,,6.29,10.53,16.83,111.50,86.00,25.49,2020
20,Seton Hall,Big East,,21,9,74.7,67.9,6.80,,9.95,,9.10,7.65,16.75,112.76,88.17,24.59,2020
,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,2020
21,Houston,AAC,,23,8,72.3,62.1,10.16,,6.30,,5.82,10.65,16.46,113.32,88.22,25.10,2020
22,Minnesota,Big Ten,,15,16,71.1,66.3,4.84,,11.55,,7.22,9.17,16.39,112.28,88.11,24.17,2020
23,Purdue,Big Ten,,16,15,68.2,62.6,5.55,,10.76,,4.01,12.30,16.30,110.75,85.53,25.23,2020
24,Penn State,Big Ten,,21,10,75.1,68.2,6.87,,9.25,,9.55,6.58,16.12,111.62,88.15,23.46,2020
25,Iowa,Big Ten,,20,11,77.7,72.3,5.45,,10.62,,13.15,2.93,16.07,118.47,94.11,24.36,2020
26,Wisconsin,Big Ten,,21,10,67.2,62.2,5.00,,10.95,,2.00,13.95,15.95,111.85,87.52,24.34,2020
27,Kentucky,SEC,,25,6,74.4,66.1,8.32,,7.46,,7.73,8.05,15.78,113.37,89.78,23.59,2020
28,Rutgers,Big Ten,,20,11,69.9,62.6,7.29,,9.68,,4.46,11.26,15.72,109.11,85.12,23.99,2020
29,Butler,Big East,,22,9,68.5,62.1,6.42,,9.14,,2.85,12.71,15.56,112.94,88.71,24.23,2020
30,Marquette,Big East,,18,12,77.8,71.6,6.13,,9.30,,12.67,2.77,15.44,114.87,92.27,22.60,2020
31,Illinois,Big Ten,,21,10,72.2,65.3,6.94,,9.84,,5.48,9.80,15.27,112.19,89.12,23.07,2020
32,Indiana,Big Ten,,20,12,71.4,66.7,4.72,,10.35,,6.10,8.98,15.07,111.00,88.93,22.07,2020
33,Auburn,SEC,,25,6,78.0,70.4,7.65,,7.39,,10.38,4.65,15.04,112.56,90.38,22.19,2020
34,Florida,SEC,,19,12,71.9,66.0,5.84,,9.10,,5.08,9.86,14.94,113.49,90.97,22.52,2020
