game_id,date,season,season_type,neutral_site,conference_game,attendance,venue,completed,home_team,home_id,home_score,home_conference_id,away_team,away_id,away_score,away_conference_id,winner,total_points,point_diff
401592369,20231109,2024,2,False,False,14797,Breslin Center,True,Michigan State Spartans,127,74,4,Southern Indiana Screaming Eagles,88,51,99,home,125,23
401610179,20231109,2024,2,False,False,9414,Ferrell Center,True,Baylor Bears,239,96,20,John Brown Golden Eagles,2301,70,99,home,166,26
401600062,20231109,2024,2,False,False,6211,Galen Center,True,USC Trojans,30,85,21,Cal State Bakersfield Roadrunners,2934,59,99,home,144,26
401598038,20231109,2024,2,False,False,3500,University Credit Union Pavilion,True,Saint Mary's Gaels,2608,72,23,New Mexico Lobos,167,58,99,home,130,14
401576680,20231109,2024,2,False,False,1263,University Credit Union Center,True,UC Davis Aggies,302,79,99,Pepperdine Waves,2492,78,99,home,157,1
401606715,20231109,2024,2,False,False,1897,Hill Field House,True,Morgan State Bears,2415,100,99,Cheyney (PA) Wolves,2129,52,99,home,152,48
401608781,20231109,2024,2,False,False,1242,Ocean Bank Convocation Center,True,Florida International Panthers,2229,65,99,Tarleton State Texans,2627,82,99,away,147,17
401604889,20231109,2024,2,False,False,1016,UPMC Events Center,True,Robert Morris Colonials,2523,66,99,Point Park Pioneers,214,56,99,home,122,10
401599982,20231109,2024,2,False,False,0,Devlin Fieldhouse,True,Tulane Green Wave,2655,88,99,Northwestern State Demons,2466,71,99,home,159,17
401594402,20231109,2024,2,False,False,2112,Joseph G. Echols Hall,True,Norfolk State Spartans,2450,90,99,Apprentice School Builders,3111,56,99,home,146,34
401594189,20231109,2024,2,False,False,1379,Resch Center,True,Green Bay Phoenix,2739,72,99,St. Francis (IL) Fighting Saints,2595,56,99,home,128,16
401594150,20231109,2024,2,False,False,2716,Kaplan Arena,True,William & Mary Tribe,2729,75,99,American University Eagles,44,56,99,home,131,19
401594070,20231109,2024,2,False,False,340,Templeton Center,True,Presbyterian Blue Hose,2506,100,99,Columbia International Rams,3242,58,99,home,158,42
401591551,20231109,2024,2,False,False,2210,Convocation Center (VA),True,Hampton Pirates,2261,109,99,Mid-Atlantic Christian Mustangs,108806,46,99,home,155,63
401590878,20231109,2024,2,False,False,1471,McDougald-McLendon Arena,True,North Carolina Central Eagles,2428,107,99,Virginia-Lynchburg Dragons,3229,54,99,home,161,53
401589463,20231109,2024,2,False,False,1046,Spiro Sports Center,True,Wagner Seahawks,2681,83,99,Molloy Lions,2404,48,99,home,131,35
401588311,20231109,2024,2,False,False,1514,Schar Center,True,Elon Phoenix,2210,79,99,East Tennessee State Buccaneers,2193,76,99,home,155,3
401587158,20231109,2024,2,False,False,1604,Memorial Coliseum (IN),True,Purdue Fort Wayne Mastodons,2870,130,99,Andrews University Cardinals,128343,34,99,home,164,96
401584400,20231109,2024,2,False,False,460,Merkert Gymnasium,True,Stonehill Skyhawks,284,57,99,Army Black Knights,349,44,99,home,101,13
401584336,20231109,2024,2,False,False,587,Buccaneer Fieldhouse,True,Charleston Southern Buccaneers,2127,70,99,North Florida Ospreys,2454,81,99,away,151,11
401583785,20231109,2024,2,False,False,697,Hammel Court,True,Merrimack Warriors,2771,93,99,Worcester State Lancers,402,72,99,home,165,21
401577572,20231109,2024,2,False,False,3807,Yuengling Center,True,South Florida Bulls,58,96,99,South Carolina State Bulldogs,2569,52,99,home,148,44
401576157,20231109,2024,2,False,False,4155,Thomas M. Ryan Center,True,Rhode Island Rams,227,93,99,Fairfield Stags,2217,80,99,home,173,13
401575390,20231109,2024,2,False,False,247,Cameron Hall,True,VMI Keydets,2678,87,99,Christendom Crusaders,111180,53,99,home,140,34
401574579,20231109,2024,2,False,False,3126,M.A.C. Center,True,Kent State Golden Flashes,2309,108,99,James Madison Dukes,256,113,99,away,221,5
401604272,20231109,2024,2,False,False,3802,McCamish Pavilion,True,Georgia Tech Yellow Jackets,59,88,99,Howard Bison,47,85,99,home,173,3
401584450,20231109,2024,2,False,False,1187,Bernard G. Johnson Coliseum,True,Sam Houston Bearkats,2534,73,99,Utah Valley Wolverines,3084,79,99,away,152,6
401577583,20231109,2024,2,False,False,6351,Charles Koch Arena,True,Wichita State Shockers,2724,71,99,Western Kentucky Hilltoppers,98,61,99,home,132,10
401604754,20231109,2024,2,False,False,1343,H.O. Clemmons Arena,True,Arkansas-Pine Bluff Golden Lions,2029,116,99,Champion Christian Tigers,3134,73,99,home,189,43
401601498,20231109,2024,2,False,False,2817,Ford Center,True,Evansville Purple Aces,339,116,99,University of Health Sciences & Pharmacy Eutectics,112686,46,99,home,162,70
401597989,20231109,2024,2,False,False,233,Jones Convocation Center,True,Chicago State Cougars,2130,61,99,Mercer Bears,2382,66,99,away,127,5
401594462,20231109,2024,2,False,False,1453,Gentry Center,True,Tennessee State Tigers,2634,83,99,Kentucky State Thorobreds,2310,58,99,home,141,25
401587149,20231109,2024,2,False,False,3411,Murphy Center,True,Middle Tennessee Blue Raiders,2393,67,99,Stephen F. Austin Lumberjacks,2617,62,99,home,129,5
401587142,20231109,2024,2,False,False,1106,Physical Education Complex,True,Coppin State Eagles,2154,49,99,Towson Tigers,119,70,99,away,119,21
401587110,20231109,2024,2,False,False,1366,Flowers Hall,True,North Alabama Lions,2453,83,99,Alabama A&M Bulldogs,2010,67,99,home,150,16
401581783,20231109,2024,2,False,False,4057,Moody Coliseum (Dallas),True,SMU Mustangs,2567,78,99,Lamar Cardinals,2320,67,99,home,145,11
401578010,20231109,2024,2,False,False,5885,Schollmaier Arena,True,TCU Horned Frogs,2628,82,99,Omaha Mavericks,2437,60,99,home,142,22
401575444,20231109,2024,2,False,False,13327,Hilton Coliseum,True,Iowa State Cyclones,66,102,99,Lindenwood Lions,2815,47,99,home,149,55
401574831,20231109,2024,2,False,False,13766,Pinnacle Bank Arena,True,Nebraska Cornhuskers,158,81,99,Florida A&M Rattlers,50,54,99,home,135,27
401604334,20231109,2024,2,False,False,1318,First Community Arena,True,SIU Edwardsville Cougars,2565,92,99,North Park Vikings,75,67,99,home,159,25
401600141,20231109,2024,2,False,False,1461,America First Events Center,True,Southern Utah Thunderbirds,253,108,99,Life Pacific Warriors,109670,73,99,home,181,35
401604331,20231109,2024,2,False,False,3514,Don Haskins Center,True,UTEP Miners,2638,123,99,Science & Arts (OK) Drovers,608,72,99,home,195,51
401594592,20231109,2024,2,False,False,818,Hamilton Gymnasium,True,Denver Pioneers,2172,97,99,Cal Poly Mustangs,13,76,99,home,173,21
401583734,20231109,2024,2,False,False,978,ICCU Arena,True,Idaho Vandals,70,73,99,Cal State Northridge Matadors,2463,76,99,away,149,3
401594030,20231109,2024,2,False,False,3840,The Thunderdome,True,UC Santa Barbara Gauchos,2540,76,99,Portland State Vikings,2502,82,99,away,158,6
401589377,20231109,2024,2,False,False,0,The Sobrato Center,True,San Francisco Dons,2539,84,99,Saint Francis Red Flash,2598,52,99,home,136,32
401602183,20231109,2024,2,False,False,1484,Provident Credit Union Event Center,True,San José State Spartans,23,117,99,Bethesda University Flames,3246,72,99,home,189,45
401581775,20231109,2024,2,False,False,6026,Alaska Airlines Arena,True,Washington Huskies,264,75,99,Northern Kentucky Norse,94,67,99,home,142,8
401597840,20231108,2024,2,True,False,0,Wintrust Arena,True,Loyola Chicago Ramblers,2350,62,99,Florida Atlantic Owls,2226,75,10,away,137,13
