game_id,date,season,home_team,away_team,home_score,away_score,winner,total_points,point_diff,venue,neutral_site,conference_game
401095345,2018-11-07,2019,Alaska Nanooks,Oregon Ducks,36,115,Oregon Ducks,151,79,John A. Carlson Center,False,False
401092565,2018-11-07,2019,Baylor Bears,Nicholls Colonels,100,39,Baylor Bears,139,61,Ferrell Center,False,False
401091931,2018-11-07,2019,Western Kentucky Lady Toppers,Louisville Cardinals,80,102,Louisville Cardinals,182,22,E.A. Diddle Arena,False,False
401091398,2018-11-07,2019,Mississippi State Bulldogs,Southeast Missouri State Redhawks,88,53,Mississippi State Bulldogs,141,35,Humphrey Coliseum,False,False
401091399,2018-11-07,2019,Western Illinois Leathernecks,Missouri Tigers,64,89,Missouri Tigers,153,25,Western Hall,False,False
401091928,2018-11-06,2019,Syracuse Orange,North Dakota Fighting Hawks,85,49,Syracuse Orange,134,36,JMA Wireless Dome,False,False
401090994,2018-11-06,2019,Marquette Golden Eagles,South Dakota State Jackrabbits,91,52,Marquette Golden Eagles,143,39,Al McGuire Center,False,False
401090419,2018-11-07,2019,Ohio State Buckeyes,South Florida Bulls,47,71,South Florida Bulls,118,24,Value City Arena,False,False
401094276,2018-11-07,2019,Arizona State Sun Devils,Incarnate Word Cardinals,81,43,Arizona State Sun Devils,124,38,Desert Financial Arena,False,False
401090420,2018-11-07,2019,California Golden Bears,Houston Cougars,80,79,California Golden Bears,159,1,Haas Pavilion,False,False
401091926,2018-11-07,2019,Florida International Panthers,Miami Hurricanes,43,94,Miami Hurricanes,137,51,Ocean Bank Convocation Center,False,False
401092326,2018-11-08,2019,Stanford Cardinal,UC Davis Aggies,71,43,Stanford Cardinal,114,28,Maples Pavilion,False,False
401091932,2018-11-08,2019,NC State Wolfpack,Belmont Bruins,77,62,NC State Wolfpack,139,15,Reynolds Coliseum,False,False
401091402,2018-11-08,2019,Texas A&M Aggies,Rice Owls,65,54,Texas A&M Aggies,119,11,Reed Arena,False,False
401092566,2018-11-09,2019,Baylor Bears,Saint Francis Red Flash,116,58,Baylor Bears,174,58,Ferrell Center,False,False
401090684,2018-11-09,2019,Texas Longhorns,Duquesne Dukes,78,41,Texas Longhorns,119,37,Frank Erwin Center,False,False
401091934,2018-11-09,2019,Notre Dame Fighting Irish,Harvard Crimson,103,58,Notre Dame Fighting Irish,161,45,Purcell Pavilion,False,False
401092182,2018-11-10,2019,Chattanooga Mocs,Louisville Cardinals,49,75,Louisville Cardinals,124,26,McKenzie Arena,False,False
401091406,2018-11-10,2019,Virginia Cavaliers,Mississippi State Bulldogs,44,72,Mississippi State Bulldogs,116,28,John Paul Jones Arena,False,False
401092329,2018-11-10,2019,Oregon State Beavers,Cal Poly Mustangs,79,54,Oregon State Beavers,133,25,Gill Coliseum,False,False
401094680,2018-11-10,2019,Maryland Terrapins,Coppin State Eagles,93,36,Maryland Terrapins,129,57,XFINITY Center,False,False
401094660,2018-11-10,2019,Iowa Hawkeyes,Oral Roberts Golden Eagles,90,77,Iowa Hawkeyes,167,13,Carver-Hawkeye Arena,False,False
401090690,2018-11-09,2019,Georgia Lady Bulldogs,St. Bonaventure Bonnies,67,40,Georgia Lady Bulldogs,107,27,Stegeman Coliseum,False,False
401091004,2018-11-10,2019,DePaul Blue Demons,Green Bay Phoenix,73,64,DePaul Blue Demons,137,9,McGrath-Phillips Arena,False,False
401090427,2018-11-10,2019,South Florida Bulls,UAlbany Great Danes,74,37,South Florida Bulls,111,37,Yuengling Center,False,False
401091935,2018-11-10,2019,Oregon Ducks,Syracuse Orange,75,73,Oregon Ducks,148,2,Matthew Knight Arena,False,False
401090433,2018-11-11,2019,UConn Huskies,Ohio State Buckeyes,85,53,UConn Huskies,138,32,Gampel Pavilion,False,False
401092567,2018-11-12,2019,Arizona State Sun Devils,Baylor Bears,59,65,Baylor Bears,124,6,Bee Holdzil Fighting Scouts Event Center,True,False
401094806,2018-11-11,2019,Stanford Cardinal,Idaho Vandals,115,71,Stanford Cardinal,186,44,Maples Pavilion,False,False
401090697,2018-11-11,2019,Maryland Terrapins,Dayton Flyers,82,71,Maryland Terrapins,153,11,XFINITY Center,False,False
401091414,2018-11-11,2019,Alabama State Lady Hornets,South Carolina Gamecocks,38,94,South Carolina Gamecocks,132,56,Dunn-Oliver Acadome,False,False
401091408,2018-11-11,2019,Tennessee Lady Volunteers,Presbyterian Blue Hose,97,49,Tennessee Lady Volunteers,146,48,Food City Center,False,False
401091940,2018-11-11,2019,NC State Wolfpack,Kent State Golden Flashes,78,61,NC State Wolfpack,139,17,Reynolds Coliseum,False,False
401091412,2018-11-12,2019,Texas A&M Aggies,Jacksonville Dolphins,73,53,Texas A&M Aggies,126,20,Reed Arena,False,False
401091941,2018-11-11,2019,Northwestern Wildcats,Duke Blue Devils,84,58,Northwestern Wildcats,142,26,Welsh-Ryan Arena,False,False
401094776,2018-11-11,2019,Penn State Lady Lions,California Golden Bears,58,75,California Golden Bears,133,17,Bryce Jordan Center,False,False
401091943,2018-11-13,2019,Notre Dame Fighting Irish,Pennsylvania Quakers,75,55,Notre Dame Fighting Irish,130,20,Purcell Pavilion,False,False
401092347,2018-11-13,2019,North Texas Mean Green,Texas Longhorns,54,64,Texas Longhorns,118,10,The Super Pit,False,False
401092348,2018-11-14,2019,Western Kentucky Lady Toppers,Iowa Hawkeyes,67,104,Iowa Hawkeyes,171,37,E.A. Diddle Arena,False,False
401091417,2018-11-14,2019,Missouri Tigers,Missouri State Bears,65,61,Missouri Tigers,126,4,Mizzou Arena,False,False
401093921,2018-11-13,2019,BYU Cougars,California Golden Bears,52,70,California Golden Bears,122,18,Marriott Center,False,False
401094387,2018-11-15,2019,Utah State Aggies,Oregon Ducks,58,88,Oregon Ducks,146,30,Dee Glen Smith Spectrum,False,False
401095359,2018-11-14,2019,Oregon State Beavers,Arkansas-Pine Bluff Golden Lions,89,33,Oregon State Beavers,122,56,Gill Coliseum,False,False
401090707,2018-11-15,2019,George Washington Revolutionaries,Maryland Terrapins,30,69,Maryland Terrapins,99,39,Charles E. Smith Center,False,False
401091418,2018-11-15,2019,Tennessee Lady Volunteers,UNC Asheville Bulldogs,73,46,Tennessee Lady Volunteers,119,27,Food City Center,False,False
401091420,2018-11-14,2019,UCLA Bruins,Georgia Lady Bulldogs,80,69,UCLA Bruins,149,11,Pauley Pavilion,False,False
